source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_recurring_donation,261577,258465,76,Total_Amount_Available_for_Instruction__c,nvarchar,87588,33.48%,1,🔴 high
raw.salesforce_recurring_donation,261577,258465,77,Total_Amount_Instructed__c,nvarchar,260520,99.60%,79,🔴 high
raw.salesforce_recurring_donation,261577,258465,78,Total_Amount_for_1_Unit_of_each_GAU__c,nvarchar,85217,32.58%,119,🔴 high
raw.salesforce_recurring_donation,261577,258465,79,Allow_Instruction__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_recurring_donation,261577,258465,80,Amount_Available_for_SR_Instruction__c,nvarchar,0,.00%,344,✅ clean
raw.salesforce_recurring_donation,261577,258465,81,Enough_funds_to_instruct__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_recurring_donation,261577,258465,82,Casesafe_Recurring_Donation_Id__c,nvarchar,0,.00%,258465,✅ clean
raw.salesforce_recurring_donation,261577,258465,83,Payment_Schedule__c,nvarchar,83223,31.82%,7,🔴 high
raw.salesforce_recurring_donation,261577,258465,84,Total_Paid_Amount_excl__c,nvarchar,3911,1.50%,6123,🟡 low
raw.salesforce_recurring_donation,261577,258465,85,Last_Year_Value__c,nvarchar,47733,18.25%,1018,🟠 medium
raw.salesforce_recurring_donation,261577,258465,86,Number_of_Unpaid_Installments__c,nvarchar,0,.00%,241,✅ clean
raw.salesforce_recurring_donation,261577,258465,87,Email_Acknowledgement__c,nvarchar,259484,99.20%,1,🔴 high
raw.salesforce_recurring_donation,261577,258465,88,Email_Acknowledgement_Date__c,nvarchar,259483,99.20%,2,🔴 high
raw.salesforce_recurring_donation,261577,258465,89,Number_of_Failed_Payments__c,nvarchar,165350,63.21%,37,🔴 high
raw.salesforce_recurring_donation,261577,258465,90,Total_Number_of_Failed_Payments__c,nvarchar,131863,50.41%,44,🔴 high
raw.salesforce_recurring_donation,261577,258465,91,_etl_loaded_at_utc,datetime2,3209,1.23%,1,🟡 low
raw.salesforce_recurring_donation,261577,258465,92,_etl_source,nvarchar,3209,1.23%,1,🟡 low
raw.salesforce_recurring_donation,261577,258465,93,_etl_source_object,nvarchar,0,.00%,1,✅ clean
