source_table,total_rows,distinct_ids,ordinal,column_name,data_type,null_empty_count,null_pct,distinct_values,flag
raw.salesforce_campaign,41305,40776,62,Year__c,nvarchar,38706,93.71%,10,🔴 high
raw.salesforce_campaign,41305,40776,63,City_Code__c,nvarchar,39603,95.88%,85,🔴 high
raw.salesforce_campaign,41305,40776,64,City__c,nvarchar,39222,94.96%,143,🔴 high
raw.salesforce_campaign,41305,40776,65,FR_Unique_Number__c,nvarchar,41021,99.31%,284,🔴 high
raw.salesforce_campaign,41305,40776,66,Sub_Region__c,nvarchar,41135,99.59%,30,🔴 high
raw.salesforce_campaign,41305,40776,67,Fundraiser_Code__c,nvarchar,36519,88.41%,154,🔴 high
raw.salesforce_campaign,41305,40776,68,Event_Type_Code__c,nvarchar,41211,99.77%,18,🔴 high
raw.salesforce_campaign,41305,40776,69,Event_Acronym__c,nvarchar,41099,99.50%,202,🔴 high
raw.salesforce_campaign,41305,40776,70,Event_Location_Code__c,nvarchar,41223,99.80%,60,🔴 high
raw.salesforce_campaign,41305,40776,71,Created_Date_Time__c,nvarchar,38577,93.40%,334,🔴 high
raw.salesforce_campaign,41305,40776,72,Casesafe_Campaign_ID__c,nvarchar,0,.00%,40776,✅ clean
raw.salesforce_campaign,41305,40776,73,Regional_Office_Code__c,nvarchar,239,.58%,10,🟡 low
raw.salesforce_campaign,41305,40776,74,Campaign_Location__c,nvarchar,41205,99.76%,95,🔴 high
raw.salesforce_campaign,41305,40776,75,Code__c,nvarchar,40906,99.03%,342,🔴 high
raw.salesforce_campaign,41305,40776,76,Long_Name_Field__c,nvarchar,27870,67.47%,13425,🔴 high
raw.salesforce_campaign,41305,40776,77,DMS_Campaign_ID__c,nvarchar,37463,90.70%,3837,🔴 high
raw.salesforce_campaign,41305,40776,78,Max_Call_Retry__c,nvarchar,2764,6.69%,4,🟠 medium
raw.salesforce_campaign,41305,40776,79,Response_Percentage__c,nvarchar,31938,77.32%,313,🔴 high
raw.salesforce_campaign,41305,40776,80,Retry_Intervals__c,nvarchar,2764,6.69%,4,🟠 medium
raw.salesforce_campaign,41305,40776,81,Parent_Campaign_CasesafeID__c,nvarchar,9301,22.52%,2656,🟠 medium
raw.salesforce_campaign,41305,40776,82,Email_Notification__c,nvarchar,0,.00%,1,✅ clean
raw.salesforce_campaign,41305,40776,83,Achieved_Target__c,nvarchar,30774,74.50%,4145,🔴 high
raw.salesforce_campaign,41305,40776,84,Description_detail__c,nvarchar,39006,94.43%,1975,🔴 high
raw.salesforce_campaign,41305,40776,85,Donor__c,nvarchar,18569,44.96%,8850,🔴 high
raw.salesforce_campaign,41305,40776,86,Fundraiser_Person__c,nvarchar,41124,99.56%,37,🔴 high
raw.salesforce_campaign,41305,40776,87,Number_of_attendees__c,nvarchar,41305,100.00%,0,🔴 high
raw.salesforce_campaign,41305,40776,88,Pledged_Amount__c,nvarchar,39157,94.80%,305,🔴 high
raw.salesforce_campaign,41305,40776,89,Remaining_Pledge_Amount__c,nvarchar,0,.00%,16214,✅ clean
raw.salesforce_campaign,41305,40776,90,Remaining_Target__c,nvarchar,30774,74.50%,4152,🔴 high
raw.salesforce_campaign,41305,40776,91,Grandparent_Campaign_Casesafe_Id__c,nvarchar,21197,51.32%,270,🔴 high
raw.salesforce_campaign,41305,40776,92,Dialer_Queue__c,nvarchar,40609,98.31%,22,🔴 high
raw.salesforce_campaign,41305,40776,93,Country__c,nvarchar,31220,75.58%,23,🔴 high
raw.salesforce_campaign,41305,40776,94,Fundraiser__c,nvarchar,28920,70.02%,141,🔴 high
raw.salesforce_campaign,41305,40776,95,Fundraising_page_url__c,nvarchar,13040,31.57%,26695,🔴 high
raw.salesforce_campaign,41305,40776,96,Fundraising_Objective_Purpose__c,nvarchar,39897,96.59%,530,🔴 high
raw.salesforce_campaign,41305,40776,97,Fundraising_Team_Code__c,nvarchar,41305,100.00%,0,🔴 high
raw.salesforce_campaign,41305,40776,98,Speaker_Artist__c,nvarchar,40647,98.41%,591,🔴 high
raw.salesforce_campaign,41305,40776,99,Call_List_Clearing_In_Progress__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_campaign,41305,40776,100,Available_Amount__c,nvarchar,0,.00%,12144,✅ clean
raw.salesforce_campaign,41305,40776,101,Total_Funds_Allocated__c,nvarchar,0,.00%,3104,✅ clean
raw.salesforce_campaign,41305,40776,102,Upload_Transaction_ID__c,nvarchar,41256,99.88%,49,🔴 high
raw.salesforce_campaign,41305,40776,103,Item__c,nvarchar,10953,26.52%,14491,🟠 medium
raw.salesforce_campaign,41305,40776,104,Stipulation__c,nvarchar,8045,19.48%,3,🟠 medium
raw.salesforce_campaign,41305,40776,105,Donation_Value__c,nvarchar,3,.01%,3378,🟡 low
raw.salesforce_campaign,41305,40776,106,Patient__c,nvarchar,41246,99.86%,59,🔴 high
raw.salesforce_campaign,41305,40776,107,Donation_Raised__c,nvarchar,0,.00%,15164,✅ clean
raw.salesforce_campaign,41305,40776,108,Funds_Allocated__c,nvarchar,16063,38.89%,54,🔴 high
raw.salesforce_campaign,41305,40776,109,Total_FundsAllocated__c,nvarchar,0,.00%,4678,✅ clean
raw.salesforce_campaign,41305,40776,110,Email_Acknowledgement_Status__c,nvarchar,41295,99.98%,1,🔴 high
raw.salesforce_campaign,41305,40776,111,FundraisingCode__c,nvarchar,6442,15.60%,361,🟠 medium
raw.salesforce_campaign,41305,40776,112,Priority__c,nvarchar,32405,78.45%,3,🔴 high
raw.salesforce_campaign,41305,40776,113,Reviewed__c,nvarchar,0,.00%,2,✅ clean
raw.salesforce_campaign,41305,40776,114,Campaign_Count__c,nvarchar,0,.00%,1,✅ clean
raw.salesforce_campaign,41305,40776,115,Page_Type__c,nvarchar,10980,26.58%,6,🟠 medium
raw.salesforce_campaign,41305,40776,116,Arrival_Time__c,nvarchar,41193,99.73%,15,🔴 high
raw.salesforce_campaign,41305,40776,117,External_Id__c,nvarchar,18515,44.83%,22526,🔴 high
raw.salesforce_campaign,41305,40776,118,Funds_Allocated_In_Campaign_Non_Pledge__c,nvarchar,7247,17.55%,1988,🟠 medium
raw.salesforce_campaign,41305,40776,119,Funds_Allocated_In_Hierarchy_Instruction__c,nvarchar,7247,17.55%,3173,🟠 medium
raw.salesforce_campaign,41305,40776,120,Funds_Allocated_In_Hierarchy_Non_Pledge__c,nvarchar,7247,17.55%,2040,🟠 medium
raw.salesforce_campaign,41305,40776,121,Funds_Allocated_In_Hierarchy_Outside_CRM__c,nvarchar,7247,17.55%,58,🟠 medium
raw.salesforce_campaign,41305,40776,122,Income_Stream__c,nvarchar,39777,96.30%,13,🔴 high
raw.salesforce_campaign,41305,40776,123,_etl_loaded_at_utc,datetime2,552,1.34%,1,🟡 low
raw.salesforce_campaign,41305,40776,124,_etl_source,nvarchar,552,1.34%,1,🟡 low
raw.salesforce_campaign,41305,40776,125,_etl_source_object,nvarchar,0,.00%,1,✅ clean
